# p_0,p_1
7.611429967556965215e-01,3.523744328792666192e-02
5.558582457075530447e-01,1.243006944599914565e+00
6.594995264609049279e-03,8.311235561998842059e-01
7.708834521108118842e-01,1.562997191476052983e+00
5.094741594921687877e-01,8.059338937701977512e-01
7.931287723765124698e-01,1.299035597680090692e+00
9.088573095569156823e-01,1.379556863068593486e+00
4.018047821916029827e-01,1.505817956453677553e+00
9.954426884719127511e-01,7.103732710942596285e-01
1.006394271155573561e+00,1.183721019121145357e+00
3.451510406592619429e-01,6.798054107160169668e-01
9.091566991011696963e-01,3.657476490572644234e-01
1.834815632279652720e-01,1.413826602760959172e-02
6.900657960576139782e-01,9.397493589970552508e-01
1.139021236079972077e+00,1.294120832610265115e+00
1.044120515196646171e+00,1.064152309419598375e+00
1.311688068842394639e+00,9.110960994936595503e-01
5.210904093250511293e-01,7.583959770566991443e-01
5.818088776675375273e-01,7.356855895879522711e-01
1.441881965779098440e+00,1.191000223025017846e+00
1.142129798712362643e+00,8.259178682393412130e-01
1.183649932843031660e+00,8.502109393407658589e-01
4.400840638107597069e-01,1.132999271396414098e+00
2.912437642647822678e-01,9.979880076526763677e-01
3.390595379309044866e-01,1.947427292470490956e+00
1.145348562799170633e+00,3.152070293200356366e-01
3.687439238400666563e-01,8.763930520771902044e-01
2.091592604210129602e-01,6.964632781946455964e-01
9.857512463636070033e-01,9.642455263617388805e-02
9.264078273282110310e-01,6.155602578215942922e-01
6.870537986452450729e-01,1.042802567907456179e+00
3.956840653753381787e-01,3.965937199112812839e-01
4.522764174070853516e-01,7.770735575644392990e-01
1.518672419055218104e-01,4.648026832957040666e-01
1.035209901978288105e+00,1.605792026652540727e+00
2.101906460532453336e-01,4.517954845186991086e-01
1.105074609812947140e-01,1.165201482168366276e+00
4.417842278583422044e-01,7.301837758663909383e-01
5.741144406473860373e-01,3.754543987449868725e-01
2.913201365236856022e-01,1.734049469225654727e+00
8.024665296854882612e-01,6.578264293833981924e-01
3.909076618654967472e-01,1.019514290678542157e+00
3.495584966695887696e-01,8.015104742143789318e-01
1.238749700266247755e+00,1.676987405522367691e-02
1.248395018739299811e+00,6.875530895284373001e-01
5.617543032717550178e-01,8.227376401784458615e-01
6.087759076451644269e-01,5.810143099269360345e-02
5.131948582442644735e-01,6.726313586636341046e-01
3.583700490590831511e-01,9.044593885938704281e-01
6.620958230356077667e-01,7.737147256992529254e-01
8.980090561767710700e-01,7.359705217394864052e-01
1.053906135064371030e+00,4.525486679310881111e-01
3.098236112293428768e-02,1.586531456637810367e+00
1.256842024356867427e+00,1.508507930163955013e+00
1.222775579037338911e+00,1.137524457738268380e+00
6.284649503998578357e-01,1.001672171607333794e+00
7.609015058608495918e-01,7.702524348411243782e-01
8.663095499740365302e-01,1.023497789478223119e+00
5.769113855821261794e-01,1.502390665919210555e+00
3.735897975872970456e-02,8.796856787457973947e-01
7.538724841030999269e-01,7.652102918163787848e-01
9.722819290389039804e-02,1.587646972358219388e+00
9.719389873097550314e-01,8.965097834354951445e-02
9.525364919819017118e-01,3.935797420473996500e-01
9.942627054820090127e-01,1.337023799641618105e+00
3.219060627385114670e-01,1.075753673595147397e+00
5.564743404474037369e-02,1.033874523184716621e+00
1.248844954126621776e+00,7.104082179511075346e-01
1.116421477540715301e+00,1.283985388986251808e+00
9.586954144870973860e-01,1.253413068774582806e+00
6.489852263066087090e-01,7.374906240064404983e-01
1.285611896556879241e+00,1.336070110056457816e+00
9.684567446774141608e-01,4.396644746661171888e-01
