# p_0,p_1
2.779779722004793729e-02,3.379867374553799375e-01
3.544580529326986085e-01,1.134186002993748721e+00
5.874741664220124449e-01,3.369331823845072016e-01
1.047293605531360194e+00,1.266457860705235694e+00
1.058134492259452220e+00,3.980272846183874891e-01
5.160312445058413688e-01,4.314403218903051784e-01
3.918831715278020544e-01,2.238223304822459792e-01
1.230199863135882143e+00,1.424093542926370581e+00
8.924077457260168877e-01,5.538424189952230181e-01
9.523015750015406677e-01,1.011564434838531312e+00
5.574491784857806831e-01,2.420762383467476297e-01
9.262867197503703576e-01,1.958864067273280662e+00
5.083469251919905396e-01,8.007618429682903383e-01
4.687062539185623544e-01,1.486597813315708283e+00
6.370168251348308219e-01,3.072921438906861535e-02
1.770325961256521419e+00,6.375299413998822828e-01
3.809379470033826820e-01,3.512079659662479258e-01
4.077370512310251049e-01,1.854303203647169385e+00
3.874353896642369066e-01,4.323325045662134158e-01
5.659343896089803483e-01,7.089027029504224586e-01
5.301860178608931440e-01,1.424333182799173425e+00
1.518652042641425393e+00,7.661430720928310567e-01
6.298450699709956524e-01,1.132675356744942796e+00
6.161673280207223824e-01,4.558512273968701178e-01
5.616992530734186140e-01,1.091842563551342682e+00
1.716395430418416801e+00,1.100285507375444727e+00
1.281393690114487782e+00,5.698017969127089355e-01
1.281574089819561335e+00,1.099461466617951633e+00
1.572233686645005069e+00,7.773201980394452981e-01
1.585339192349643600e+00,5.226346849158094443e-01
4.037264575612553585e-02,1.297016286602749924e+00
9.847845376763338932e-01,4.005531313607790800e-02
8.009744640322112863e-01,9.605366167626172569e-01
8.778624253111702025e-01,4.246967149056051771e-01
1.249943590050467623e+00,1.305855578972005659e+00
2.760045340337002884e-02,6.390449186859447073e-01
1.243586673324724723e+00,8.796794250297367279e-01
4.622909332024166540e-01,1.273220815803159489e+00
1.781496774679227624e-01,7.784967773301033622e-01
1.294099789693128111e+00,9.263303549118451219e-01
7.517611849371715893e-01,9.764847349873551074e-02
1.804231726486902776e+00,1.011341586193875708e+00
2.663537308377925683e-01,5.746437257136141064e-01
4.259992098575600683e-01,1.290784577243986542e+00
1.203106847730561535e+00,1.312028967821630143e+00
4.912130599803432585e-02,7.844181836213133252e-01
6.120699292975699812e-01,2.659377094599342239e-01
1.128817927001220855e+00,9.512349811607727634e-01
1.419628674869357177e+00,1.528645928796433573e+00
5.525853593884022530e-04,1.184672335047648684e+00
5.240527917020065818e-01,1.675066153486415965e+00
2.262383352923847957e-01,9.746198743532097364e-01
2.294917222016680802e-01,4.891938510034931076e-01
1.046367867994338230e+00,7.638640694565844713e-01
9.007769487995047619e-01,7.818094555753350994e-01
1.118019724770648038e+00,8.025681589922393222e-01
1.276467119849979515e+00,1.312974567563481854e+00
2.895538052796275963e-02,8.325580660351781237e-01
1.372003664909859921e+00,1.379013497795572807e+00
3.689814139460288467e-01,6.573252752342231275e-01
