# p_0,p_1,p_2
2.408984745386882675e+00,2.647837091757119232e+00,8.690282145729724128e-01
1.767160250725266168e+00,4.594308121712247228e+00,1.366048011918066019e+00
2.539721421667664902e+00,4.020444742858288123e+00,3.459587496682472452e-01
2.481575313578245012e+00,4.008056971477064856e+00,6.965052626787906487e-01
1.751977965855058050e+00,4.090991200519748183e+00,6.421029904044066594e-01
1.819683586780651785e+00,4.619845598084475036e+00,1.218826319534611624e+00
1.351956288111116233e+00,3.127190604959148690e+00,1.986484508716646724e+00
2.828189112974884178e+00,4.320431120316240658e+00,1.686888638681049546e+00
2.636271554727108946e+00,4.592543930352059434e+00,1.100238952458784114e+00
2.094295302313434970e+00,4.423767837649205781e+00,7.270045330123714455e-01
2.421032312376958373e+00,3.805826862297272850e+00,1.059803680422668481e+00
2.663044204138414361e+00,4.295700856444094384e+00,1.957134837858756304e+00
2.388737037860449330e+00,3.265884194092872228e+00,1.728718099381871820e+00
2.707582281951744996e+00,4.436403638397797167e+00,1.658963737508686087e+00
1.322559311514870606e+00,4.297179450982901550e+00,9.766724606980612400e-01
1.846898518175813297e+00,4.884496396258633411e+00,1.387929256280308055e+00
2.905651689287131134e+00,3.407702002775537586e+00,2.096234578778293223e-01
2.387086826726938504e+00,4.688502252594814124e+00,4.619454457145683035e-01
1.603581798479553511e+00,2.739238606041473734e+00,1.321036916159439079e+00
1.297602784986440216e+00,3.860405157727816228e+00,2.443597028453583508e-01
2.439209141859435714e+00,3.983889342888847551e+00,7.868670701934884493e-01
1.932449447965227884e+00,4.202143497531449334e+00,4.972854933770967101e-01
1.832454491559820209e+00,4.100788137347801232e+00,2.616724613820827772e-01
2.635902450919887841e+00,3.959934404826668253e+00,3.716106255359452604e-01
2.690779218482359791e+00,3.321749524840455159e+00,5.436428747500425818e-01
1.068026408021425899e+00,3.747408412857597071e+00,4.118187033043876344e-01
2.889038084868944978e+00,4.686444264021061734e+00,7.539690244567629485e-01
1.833336255136757798e+00,3.773719690549875327e+00,5.642312207586823725e-01
1.975198223214646998e+00,3.522625299406653809e+00,1.688008398179416503e+00
1.392559890072006201e+00,4.365916263299314259e+00,1.759577147106399897e+00
2.222390815170824485e+00,3.702251294787886948e+00,8.054120848943550071e-01
1.853290473471112643e+00,3.290887644127883149e+00,1.154347400446369631e+00
2.499375684185222823e+00,3.627078000367065513e+00,8.143174226483067546e-01
2.172924223449378633e+00,4.194033749077759055e+00,9.534009212193654825e-01
1.602958999980090837e+00,4.701673683710061447e+00,1.158811556163155343e+00
2.485291592899527835e+00,4.330045963899792127e+00,6.826688573596497722e-01
1.505571617691190411e+00,3.792659307062725915e+00,8.016299587161331841e-01
2.677007367718559294e+00,3.653509311257391534e+00,1.326219530608549579e+00
2.217039530217070009e+00,4.423840521146855664e+00,8.582819070938798589e-01
1.670748208929164313e+00,3.656720272269245342e+00,1.463121936033172643e+00
1.505784424534210908e+00,3.479055587239613168e+00,4.698445285825377793e-01
9.480625740979455873e-01,3.555890355589005569e+00,1.300630434157368898e+00
1.645711035194325822e+00,3.298315925176266816e+00,1.082905556261295255e+00
2.444037706366289697e+00,4.104053499341982381e+00,6.664790402065343677e-01
6.883142742269301451e-01,4.196666619514684449e+00,6.942057006323443247e-03
2.026282287990611497e+00,4.260979677790498243e+00,9.135256596114920136e-01
1.997638612987254758e+00,3.244751784996385169e+00,1.528428018809436129e+00
