# p_0,p_1,p_2
2.202198374214971111e+00,4.538796594232256787e+00,1.735779272979692589e+00
2.870931744053558887e+00,3.531346566892815009e+00,1.208530625070900477e+00
1.714021106836188579e+00,3.739250926376515682e+00,1.252673076255937712e+00
1.968570585621972180e+00,4.248300543204750923e+00,1.710213712925330309e+00
1.210647913466011305e+00,4.597279434721302849e+00,3.466210523317635461e-01
2.002172803985128091e+00,4.911822476504970503e+00,1.307876043046729553e+00
1.652546570405252879e+00,4.237365238628976627e+00,1.280892000546308473e+00
1.754452112020123522e+00,5.030334166186837486e+00,8.559117049526980825e-01
2.472681840846690626e+00,4.122624638697828914e+00,1.451612115467408648e+00
2.400462124662924079e+00,4.073479131609084369e+00,8.428894037669082406e-01
1.858604333019989951e+00,4.143893711775414879e+00,4.840812508839626993e-01
2.407823167493859273e+00,3.464377153207188087e+00,3.666554018534043946e-01
1.644906816913979997e+00,4.939386486568350776e+00,7.805912534391741264e-01
1.229682073169800827e+00,4.491207898120631370e+00,7.434197653041364484e-01
1.785153232472181495e+00,4.690485654880728994e+00,8.104229044578505903e-01
2.098333076306282408e+00,4.188613996076258950e+00,6.028149385462494569e-01
2.514506682670337057e+00,4.073853693726452008e+00,8.636050574941088742e-01
1.701476935931538481e+00,4.807747709247004231e+00,5.093762773827195112e-01
2.406932375415042902e+00,4.578098872471491276e+00,1.121800129004787872e+00
1.073589511817675923e+00,4.116786607599776993e+00,1.011401883144804614e+00
2.829583005946889607e+00,4.473374033915479941e+00,9.241156139006709846e-01
2.499348718462083507e+00,3.423086026983075403e+00,3.050144374232054423e-01
1.635423590564681007e+00,3.406799420041513482e+00,3.882359476396868292e-01
1.848609011868938445e+00,4.312000903240630123e+00,4.319392734545564050e-01
1.859921967651410046e+00,3.774755326294366053e+00,8.426591819593977073e-01
7.087696142366437524e-01,4.120793768293785853e+00,1.604941225177910047e+00
2.156828769344409924e+00,3.558096697535837460e+00,1.905860579733473115e+00
1.649793246795209445e+00,4.355134256054399522e+00,1.035390253519685499e+00
1.557506461307182954e+00,2.633626259161983896e+00,1.058356102217686834e+00
2.417436253881447339e+00,4.764529868819918690e+00,1.610813258526427649e+00
1.827879518870484166e+00,4.040405682732973069e+00,1.331469080182456688e+00
2.018412219673063390e+00,4.226898615847815677e+00,8.652119847220052229e-02
1.983324075708500001e+00,4.076742854523030424e+00,1.552043876603943939e+00
1.823336880434038854e+00,3.530632506660218439e+00,4.764919774533565855e-01
2.007680338631085526e+00,3.827009694019613661e+00,8.779941628456086056e-01
1.385321049462248322e+00,4.592279949769492831e+00,1.227694490304699126e+00
1.524943261081052270e+00,4.550487357458531612e+00,1.507266184721530511e+00
2.365726418468599768e+00,3.596607544439037962e+00,1.091748701323962623e+00
1.750492201389870273e+00,3.535021840502144297e+00,1.698299173724387323e+00
2.373696512688131754e+00,3.930581468260413658e+00,5.753074903208570401e-01
2.162263950643232402e+00,4.583197863716430120e+00,1.440533930167990251e+00
2.385741481282585230e+00,3.512898117562776701e+00,1.402400509113841398e+00
1.421183553063996907e+00,4.263729944443902298e+00,5.446459868549219374e-01
2.758224360398620956e+00,3.490749931620893864e+00,4.279079245310143387e-01
2.537505497039391766e+00,3.815820277015977258e+00,2.149989888761958401e+00
2.327917090728450766e+00,3.615660269302090501e+00,9.868937647386786249e-01
2.392934841026076676e+00,3.722333476341867620e+00,7.743053179107965978e-01
1.879769386225274452e+00,2.776449039356110315e+00,7.841535478746143317e-01
1.059166236363231484e+00,4.097805075895376348e+00,1.132112101611474797e+00
2.300713576797979165e+00,3.740503944561865524e+00,5.860767779694712187e-01
1.740838364228395552e+00,4.044444692833183197e+00,1.566031861324492791e+00
2.062321637166259158e+00,3.730428885019110741e+00,5.818898268350589653e-01
2.349498439772631730e+00,4.773318412180577397e+00,1.056387571549034510e+00
2.343081348521184992e+00,3.701400357282458309e+00,1.448296303165131027e+00
2.522986562452954828e+00,4.310206097019862348e+00,9.669889496285967168e-01
2.664437612993407534e+00,4.118846473979018263e+00,2.604332878873686141e+00
1.138260755089267828e+00,4.306810965450339701e+00,1.008415293795354772e+00
2.643679485631281523e+00,4.407896690392542283e+00,7.440586611058221944e-01
1.824891801851197037e+00,3.748068064388521137e+00,1.492254508470665764e+00
1.887153514370160101e+00,5.252587889412264843e+00,4.295156175250591790e-01
3.707282573183746432e+00,4.537734264501890102e+00,7.164832537959078262e-01
2.253912879910751066e+00,3.564653548509884917e+00,7.388092939714825391e-01
2.457195409743603065e+00,4.139079069965856839e+00,1.000665695107802788e+00
1.836449928428911083e+00,3.134870071550575066e+00,1.710842155689648036e+00
9.832320177300977182e-01,3.506770728816361427e+00,1.192890375848264961e+00
2.181445869671420290e+00,4.304717333790023304e+00,1.128259539450456206e+00
1.756163858864907112e+00,4.004688009943042637e+00,2.129264833838233617e-01
1.911650303256716477e+00,3.599815410030189344e+00,1.927390454037400946e+00
2.028861144677304384e+00,3.751997285837039620e+00,4.840044847716221676e-01
2.296960372621342561e+00,3.437629300943251920e+00,8.965714113273898223e-01
1.353395670046213972e+00,3.875808969814095839e+00,5.237429212913601306e-01
2.608219759902701718e+00,4.244781793136121806e+00,1.063246179705372052e+00
2.302599439352283728e+00,4.560411201583173479e+00,1.445838760953074065e+00
1.765437180355628799e+00,4.611099630143749017e+00,1.193787019363714563e+00
2.338904364871837949e+00,3.584126266762109658e+00,5.454442466751103780e-01
1.747230487581533209e+00,3.626092560495311812e+00,1.279431473144491793e+00
1.477342382992229419e+00,4.215493443956703778e+00,1.391911083685925643e+00
