# p_0,p_1,p_2,p_3
1.737914042924607883e-01,1.112536575923009918e+00,1.161248028011104605e+00,1.039984036290647396e+00
2.373536968851131246e-01,1.776893933850581364e+00,5.881591958472803805e-01,9.201495102397903025e-01
4.532768739584696061e-01,6.939109306285514700e-01,1.350897535714094433e+00,9.951868202358952198e-01
2.953170192904935876e-01,1.129499327129599440e+00,1.447621312602579646e+00,1.045168009308343748e+00
5.844506313137127762e-01,1.333039580103893895e+00,7.804280461774694144e-01,2.948226107889769798e-01
5.912457935802523101e-01,1.317561619063934097e+00,8.780065204054393613e-01,1.637492180164895617e+00
5.503332463310800504e-02,9.061659190619082427e-01,4.382548436124079627e-01,1.414990268582484667e+00
7.125386972224818649e-01,6.778247531833492268e-01,1.700602675788666307e+00,1.372561606031154291e+00
4.652172907005286406e-01,1.411569542943143407e+00,1.737401883544254844e+00,9.850998633483077915e-01
4.281970681962526948e-02,1.827779144600136796e+00,1.609949794505952658e-01,9.359198320754240630e-01
5.118184465323976085e-01,1.581381529638387295e+00,1.686552505113252387e-01,7.108667603466232165e-01
2.906747469448972554e-01,2.069710052592770744e+00,9.310693172787191108e-01,7.944735803772905447e-01
6.376725936353871971e-01,1.536235562959509471e+00,1.285203204741477423e+00,9.773654281141455069e-01
1.000408293201733301e+00,8.640463828949380698e-01,5.615353020797405614e-01,8.387612788895943972e-01
8.014986851235448295e-01,1.406833763393732228e+00,5.422358250948263736e-01,6.158321285946836143e-01
6.137035866611825208e-01,1.780588765294264242e+00,1.371666295167565774e+00,4.468701329297352087e-01
3.698240683528923878e-01,8.964800875726616214e-01,1.081710006794052825e+00,4.439282428693573923e-01
1.251102207648455145e-01,5.642660764118949679e-01,1.430844795161042571e+00,1.017282765603485961e+00
7.120266460914403961e-03,6.429658715393621327e-01,1.234906390900310402e+00,1.115232708977111908e+00
6.955078801351196605e-01,2.420114792397381365e+00,1.004580073769493431e+00,1.414611406617513500e+00
1.005412068992731722e+00,1.690025845336934118e+00,4.278678675312814761e-01,8.732002969365488809e-01
3.570481666932479037e-02,1.329952109199551868e+00,1.236153132181417647e+00,5.827300475754866316e-01
6.433022061476354470e-01,1.321060135991199314e+00,7.391318301344336206e-01,1.276465395537687009e+00
4.367863424049378551e-02,1.087954512348731306e+00,7.983845056785863203e-01,1.247592195371066470e+00
6.350930856250874834e-01,2.765869942588578212e+00,7.378061546097819390e-01,1.349108985181926235e+00
1.109796386920826050e+00,2.032735971276498965e+00,8.421031268768164324e-01,1.559802601129157473e+00
1.357747959667821247e+00,1.796263042064500048e+00,4.863664426394462836e-01,1.397027940996797835e+00
2.668368983583379039e-01,4.272521186862936471e-01,8.927350120818400292e-01,1.002148814628342377e+00
6.569662105867313251e-02,8.913277081458671480e-01,4.001444347855239725e-01,7.605171471792826488e-01
5.155219887471848006e-01,1.083317468948962192e+00,6.551444652166207305e-01,1.376230198964166096e+00
5.686124757117050343e-03,1.444085969329087504e+00,1.657245298500626074e+00,1.864804308193942273e+00
1.778718366663308847e-01,1.424474205543457606e+00,6.190789914261258797e-01,9.742110743973204645e-01
6.334215621637062643e-02,1.601960742251336445e+00,8.310974420567585064e-01,8.181034677293324009e-01
2.108479956314414094e-01,1.382422033593108335e+00,2.167567185911431160e+00,1.018995552878447342e+00
1.734250153011540618e-01,1.671606031482730792e-01,1.580220445867443813e+00,6.423111634118352509e-01
