# p_0,p_1
1.038649659056809060e+00,1.210880700656449260e-01
2.008937795953850358e+00,1.259212987058520694e+00
6.708064756453174793e-01,9.760529411010316903e-01
6.951595989406009757e-01,9.574341841311273527e-01
2.297239067366816379e-01,7.777918662964617980e-01
6.066644325850223396e-01,1.165278241706855011e+00
1.193942487300425626e+00,7.953260302622817690e-01
2.585528522419258124e-01,1.525739304448442635e+00
7.624553195529961691e-01,6.669245945167658896e-01
5.804704786259795579e-02,3.666178313540396361e-01
1.124240943515993463e+00,1.097209663098404064e-01
7.400171713905735471e-01,3.789471925117474105e-01
3.572725652897888460e-01,1.048923780192722255e+00
5.024784618614042131e-01,5.681813120308382148e-01
1.065071310934051052e+00,7.693137691580331783e-01
4.589708725214542984e-01,8.947546364227366711e-01
2.838490092894845329e-01,4.015204238929924174e-01
1.118398550041460604e+00,1.213016246040003798e+00
1.948751952783204677e+00,5.960949974489599956e-01
1.223882906641869717e+00,1.115246733794676315e+00
6.050833517145846052e-01,4.200692395549645020e-01
2.286850862712873078e-01,8.416394922187218075e-01
4.175470396611935531e-01,9.750972574516572067e-01
9.058131469342883824e-01,8.484916096487168380e-01
2.535893764565628206e-01,1.313306257293473722e+00
5.573674656356681911e-01,1.004812341059782232e+00
7.590155659804287414e-02,6.897628974374967470e-01
1.078838347964606870e-01,8.845171209977356064e-01
4.096598762809400274e-02,5.769890214465029921e-01
7.651459956997281875e-01,7.141019944098038197e-01
1.709291130347880827e-01,8.312144671355268244e-01
7.278100193632744963e-01,7.544544406342824638e-01
7.868974767463664532e-01,6.068696466764768038e-01
7.142471903041753833e-01,1.545745744651738196e+00
1.271951025242841649e+00,6.722316582014546960e-01
8.878603323202300945e-01,1.301949128709206427e+00
1.246429502766670527e+00,1.035438563505426846e+00
1.511180339834815589e+00,8.094395244122095656e-01
3.392658329772235137e-01,1.600160615293980015e+00
1.069514111963211000e+00,3.337851415882208128e-01
5.918079394744770738e-01,7.390728294038639845e-03
6.089088368365493942e-01,6.393914116436505424e-01
9.945845538281861131e-02,1.371988016613069128e+00
1.186983427849007677e-01,1.087424720999641270e+00
9.452545833920954488e-01,8.607819543206574053e-01
9.103193409446584949e-01,6.059317310429995773e-01
7.735576763614304685e-01,1.899157474180661609e-01
1.366138369945421260e+00,1.242809764623456603e+00
9.892953385114179321e-01,1.330033454070822074e+00
6.008642497017513406e-01,1.238721393031303908e+00
1.557270757072151790e+00,5.640124651878420936e-01
7.596166406175197672e-01,8.622895696212297123e-01
7.534243189274536512e-03,6.585797359777456617e-02
2.433615698498567959e-01,6.112473117474801487e-01
1.258940731464762930e+00,1.039958345943295503e+00
9.422971893404514798e-01,1.465095139007563718e+00
7.381063409092217809e-01,8.640995133727602528e-02
4.028455598242772773e-01,1.141589091394470401e+00
1.051605866078624718e+00,3.343475042086259674e-01
1.746137285774999048e-01,8.019423762348034668e-01
1.077940995691869075e+00,1.245373558344508247e+00
8.048399266666654839e-01,6.800869409704334290e-01
6.297894827829340070e-01,6.608766900373379549e-01
9.705416430145321627e-01,8.507230762101817279e-01
1.582591915155806550e-02,1.905929749137679208e+00
1.131473084095349524e+00,7.774747556945962312e-01
3.990763795415035453e-01,1.170307096920827794e+00
1.031413340725322314e-01,2.022462774719261391e-01
3.091316099174347132e-01,1.253782355970738394e+00
7.750871303629225384e-01,7.972590073776267827e-01
1.167795123533148738e+00,4.902885888892301591e-01
4.618905392956118572e-01,4.615362814321987139e-01
1.012937948519881504e+00,7.781384941537259348e-01
1.014347346749034928e-01,1.168449353664748669e+00
1.066790876653438636e+00,6.527448262357971043e-01
9.274331684185355140e-02,9.979055563616002766e-01
5.433329989024154871e-01,2.311686652227034067e-01
4.542970542171529402e-01,8.295836689383425666e-01
4.127839726987495017e-01,8.502117484529574387e-01
1.182177000310749015e+00,9.475035457170017938e-01
6.065979293681855733e-02,4.400886975571204895e-01
1.625489736138405084e+00,5.230484681714241413e-01
4.872135709765338940e-01,1.136698586511392994e+00
1.086832448636511961e+00,1.017731206470504413e+00
3.046219492965502873e-01,3.765613490294285048e-01
6.685974694247958094e-01,2.478882977236589458e-01
7.566551820862527089e-01,9.604429088234656131e-01
1.095774710207397362e+00,5.299825130227056036e-01
3.536056395746014491e-01,1.023901516890194374e+00
1.080522615763814809e-01,5.901577447108289354e-01
4.288884108255221483e-01,4.515987924985827573e-01
9.291791247199405746e-01,1.395452042560983985e+00
2.525755454516465104e-02,2.920431513568317872e-01
1.213048701798005169e-01,1.495632009124039374e-01
