# p_0,p_1,p_2
1.708700318819156072e+00,3.814777585368469115e+00,2.550276464268960153e-01
2.100752434995997842e+00,4.136763295720813360e+00,1.686779016781989604e+00
3.266977195624272134e+00,4.152433280901381529e+00,1.082440403079252489e+00
2.047120564182140168e+00,3.459942383958392043e+00,8.456269477215638819e-01
2.656719275050418716e+00,3.559107929467882236e+00,5.943376387444692099e-01
1.771058416058446605e+00,3.748291526190956180e+00,8.001033067044625025e-01
1.505887649572036580e+00,3.130958728962386584e+00,8.587147988725403192e-01
2.762096829173649404e+00,3.999718695985384542e+00,1.177108024361508409e+00
1.170445709684453384e+00,4.977258421802606136e+00,5.108614041961101471e-01
2.478790186091992531e+00,3.669137526657177517e+00,1.246920716057676515e+00
1.869127779007438539e+00,4.360451773132390407e+00,1.631662697979967991e+00
1.767886739555446063e+00,4.977558478090497118e+00,1.143828767965921811e+00
2.286739288667539061e+00,4.063071727793476917e+00,1.491672267592904388e+00
1.128592863685633274e+00,4.406931473269959376e+00,1.014427730846028552e+00
1.573217200526436432e+00,2.686506552892052646e+00,1.660097395153472544e-01
2.193879763415370832e+00,4.137313503063986708e+00,1.527294115728369261e+00
1.601172093615041314e+00,3.088353511390940387e+00,1.441492778888676440e+00
1.861502520944136929e+00,3.894060776340417362e+00,1.029180555106342432e+00
2.018294410117648763e+00,3.418900470429629301e+00,1.896867406848307791e+00
2.021785788944968854e+00,4.097215664666784107e+00,6.211851273501842741e-01
2.140826328700363490e+00,3.589073995772182890e+00,4.926101751628652048e-01
2.340820161529080234e+00,4.760819920334372846e+00,2.191032072889333548e+00
2.667060244897651700e+00,3.989981802663369326e+00,7.773686963463746213e-01
2.254309714944861653e+00,4.450997231651721897e+00,7.341709132008320537e-01
1.477255634239316828e+00,3.986327292686851820e+00,1.641513451087913911e+00
5.295483862667620389e-01,3.912787593993300117e+00,7.906520123998413974e-01
2.007932575932466435e+00,4.111175239016616523e+00,1.228676496957906039e+00
2.259689824356299948e+00,3.373522823460231024e+00,3.248677717982758617e-01
1.735023782672260095e+00,3.555689990496267772e+00,8.171982141154341406e-01
2.028334978058658145e+00,3.416952970883695428e+00,1.675968717168323963e+00
2.132277598528788065e+00,3.792733728137854143e+00,1.286576584260168410e+00
2.436402017075236071e+00,3.537987089352653935e+00,8.864763305598781784e-01
1.774295268400152725e+00,3.899275282113698893e+00,7.932130661080838419e-02
2.042694342066427193e+00,3.784292850500215799e+00,8.071292587260592288e-01
2.826730459232953407e+00,3.773166729024341137e+00,3.480562654810019918e-01
1.531057476017848362e+00,4.003881476906816062e+00,3.948016810403877086e-01
1.886845373363646328e+00,3.940113622911355584e+00,1.514832260058236679e+00
2.120623623275739167e+00,4.267910117776343881e+00,1.424597974526757183e+00
1.805573223698146768e+00,4.145537409435373633e+00,1.503561014407218011e+00
1.522315409446678425e+00,4.680145195426758775e+00,1.094243887808450166e+00
2.161121402291039217e+00,4.407368085889192599e+00,1.161894520566454148e+00
2.731259949342812909e+00,3.918915550669604730e+00,1.512040549802383227e+00
1.757869929441693513e+00,4.632399257095006107e+00,1.253301395031610532e+00
2.715208504912253851e+00,3.420049629167498217e+00,1.078156824936677749e+00
1.678297873828647147e+00,4.555755069984993355e+00,7.446956632101708884e-01
1.849007356422563531e+00,3.869506939467933115e+00,1.456444656076530064e+00
2.144455453606089801e+00,3.911972482712813726e+00,6.111307188952931346e-01
2.284725690216210747e+00,3.970829126671815423e+00,3.328529793646336499e-01
2.675200744188611868e+00,4.758695886438193412e+00,1.140874998361792292e+00
2.000957109333262984e+00,2.788683457459178783e+00,4.624433562107062023e-01
1.967730037544848765e+00,3.424160752582269929e+00,9.361190621690553826e-01
1.741568003122112351e+00,3.218264502638525038e+00,1.566697882954748211e+00
