# p_0,p_1,p_2
2.503400999263398763e+00,4.038895422602643670e+00,1.023283791670104748e+00
8.357437353292267446e-01,3.804934896372951680e+00,9.288496799206520382e-01
2.851276200299884156e+00,4.139955460487480643e+00,2.217564558414624187e-01
1.807088707601741229e+00,3.769987662796799199e+00,1.556936641536257993e+00
2.504693762929022682e+00,5.246230819602693884e+00,1.158088280748759136e+00
2.158562970993656904e+00,3.292542889684013652e+00,8.763344285571521564e-01
1.897652827819064747e+00,5.847888828558555296e+00,8.150010360051068714e-01
1.880328867743035426e+00,4.042800536725694727e+00,4.496488369776704408e-01
2.026976122246472389e+00,4.105876642085646289e+00,6.788480510592758144e-01
1.543023527448504462e+00,4.135207798617674513e+00,1.350579002322844113e+00
1.032383887581930004e+00,4.907960169741712342e+00,1.164299672419825349e+00
2.923400296216623229e+00,4.197728877179862650e+00,1.527344459060204773e+00
1.751850781529166401e+00,3.501830737341782296e+00,1.615977879883190749e+00
1.973734241087389485e+00,4.100427876932379867e+00,1.051668251640588636e+00
8.369858118008215442e-01,4.021417611826071159e+00,1.130605125174568792e+00
1.445466783870262173e+00,3.526448550850733721e+00,1.027880836428309186e+00
1.572312159299615208e+00,4.143444032000452637e+00,1.077756455745294328e+00
1.738301262678019654e+00,3.226348694019629981e+00,1.594069772349069769e+00
2.301458814844110634e+00,4.072443383837937247e+00,7.136576212391246843e-01
1.374202542776721714e+00,4.620182338139822598e+00,1.199194704204506357e+00
1.370189721883746881e+00,3.667758567426472549e+00,1.034234889728251838e+00
2.230977718297196599e+00,4.183512010407333115e+00,2.038543667551118155e-02
1.757256471337235837e+00,3.626346574462431249e+00,5.167095225769097189e-01
2.670026381318489683e+00,3.924521791963321071e+00,1.217276667102789922e+00
1.774272794082601745e+00,4.334769514461332740e+00,8.362201942144016353e-01
2.671395162001889645e+00,3.779639103866633931e+00,1.021775287437289403e+00
2.240624812516573083e+00,4.091664409161739790e+00,9.623237341990379390e-01
2.011167684408243339e+00,4.476327144544144154e+00,1.775660305813106632e+00
2.059824939029309743e+00,3.951793576892232984e+00,1.487594365040681543e+00
1.243627882554823705e+00,4.147172339221222970e+00,4.529621500253311339e-01
1.488992840749837399e+00,4.750995910935803757e+00,1.506459881045034255e+00
2.613406019616193010e+00,4.461054139665461271e+00,1.773555175826908581e+00
2.299022550375133367e+00,4.244350014564840734e+00,9.048562020835790864e-01
1.863576168428424440e+00,3.904550612483986605e+00,1.364126980030443193e+00
1.793569353670296129e+00,3.779145263730363080e+00,1.634781763004415245e+00
1.582598987505393850e+00,3.768936957414180888e+00,5.588545711751560230e-01
1.643510004974798377e+00,3.476137950826393652e+00,1.334118323011777019e-01
1.789830761740665022e+00,4.365387826746497169e+00,3.697568135921701638e-01
