# p_0,p_1
2.273386953320998827e-01,1.554807326146597779e-01
5.857447582133984421e-01,1.496282772634375480e+00
1.005615970206191534e+00,4.457157077179792481e-01
5.423173047322793483e-02,9.073401101930359536e-01
8.241349542125619987e-01,1.188418726774109535e+00
7.735647037483599497e-01,6.349829138217676361e-01
1.024896724481476618e+00,3.391064016387156932e-01
5.856171128398618420e-01,1.185069464936382433e-01
1.064262775487738288e+00,1.179248220882546772e+00
1.330735002234607389e+00,7.617111224884357545e-01
1.633774975669433083e-01,5.989345442897109351e-01
1.077705236455366089e+00,3.820373774275759859e-01
1.548326443222198812e-01,1.055713340431705394e+00
8.045190264795949453e-01,1.369297819253276760e-01
1.060049087088061892e-01,2.495367942013964058e-01
1.561888672786098109e+00,1.286459648201049744e+00
7.788472659517760022e-01,3.619712637430403945e-01
1.128118044505097561e+00,8.401523516408924142e-01
7.461186011636469217e-01,3.731531041092175371e-01
5.965179913541696077e-02,1.124390539962429436e+00
7.995298519781888213e-01,3.019345562478002454e-01
5.049447526587731438e-01,1.249001436037360024e+00
1.207894287093870922e+00,1.008400631605441689e-01
1.641746704901618781e+00,1.941103620666148499e+00
1.158114324774459636e-01,7.269294266391428394e-01
5.823774732754496419e-01,6.087487157132536186e-01
7.848016482528336057e-01,1.072574367529976147e+00
2.693518880773073665e-01,1.281677312633577648e+00
4.075298751113415330e-01,1.481781936897645480e+00
1.199402674250644729e+00,4.503457009229769881e-01
9.571087563199955905e-01,1.632861680230657253e-02
4.833541243604595472e-01,8.676368380515375733e-02
5.020625106302931684e-01,5.918361821026587588e-01
1.256968782860317546e+00,3.649618034235779795e-01
1.438319102091115020e+00,2.357678776156324485e-01
2.286501657124773157e-01,1.224478237511816392e+00
2.474273052966722286e-01,4.484573217458543981e-01
6.538211055179511400e-01,1.653913246549806093e+00
4.629658148715853905e-03,1.509052517265992988e-01
9.800169744838181929e-01,5.831070249394155747e-01
8.469908092506300834e-01,6.800561508586989712e-01
5.507433863351557379e-01,2.362168064103915555e-01
7.034290975254053890e-02,3.687758290166920361e-01
1.553971577792272463e+00,9.914496436572125537e-01
1.085237211655477374e+00,9.258782062688082348e-01
4.188004148759783551e-01,3.117106615875454012e-01
5.777050026730142784e-01,8.373186102681392518e-01
3.399033402208528898e-02,1.752955519110648286e-01
9.059540587046859272e-01,1.063245380421284247e+00
2.541148056921842535e-01,7.289637266377269054e-01
5.507614644999796472e-01,1.091066047789453819e+00
1.131387628195403172e+00,4.664710969524632489e-01
1.771447112183116790e+00,1.383568867150341442e+00
1.287762663161872378e+00,3.275032485330711118e-01
4.338803898057194686e-01,4.665087987922969526e-01
4.943353843172069717e-01,1.129914210510360117e+00
5.140296180721113384e-01,6.174861272752096841e-01
1.318000467289285105e+00,4.251322703112682122e-01
1.341335175093102183e+00,1.860905976489143354e-01
4.839529281727514842e-01,1.046126997557435212e+00
9.010107949902935731e-01,5.853389916889438771e-01
1.279601894373334048e+00,1.110232936883288168e+00
6.614266228069565212e-02,1.331169758516534962e+00
1.509783151966370696e-01,1.209971515985112100e+00
4.070259248313626288e-01,8.294833031427386594e-01
4.997410662932133540e-01,3.833871952480050194e-01
2.266209109402783639e-03,8.376150867096976427e-01
5.061144132964767728e-03,1.003270221628576042e+00
1.025220400910361374e+00,5.514671498879011313e-01
1.190674117473642601e+00,1.074498679384504163e+00
5.012077808205153140e-01,7.730196531005428806e-02
1.574205707780285124e-01,9.852161571044144583e-01
1.193668597876738735e+00,8.585543692268311489e-01
8.384754368282203441e-01,1.078286785738756581e+00
8.429890398393304896e-01,2.330879550387966237e+00
5.074684824946418260e-01,6.294288131267643527e-01
1.761804463231491091e-01,6.322247517716922394e-01
6.680703068982818404e-02,1.140844342737104222e+00
1.203238648586614445e+00,1.182838873853347739e+00
6.381561412103804454e-01,8.478308807752866771e-01
6.410898004344365297e-01,7.417797537145945919e-01
2.398771312145404622e-01,1.078096702129595741e+00
1.737856872452531176e+00,1.519900693676327075e-01
8.758449420398408680e-01,5.563294487886809581e-01
1.252456268088872005e+00,9.300091123870890542e-02
3.673853701704579144e-01,1.033316440836417271e+00
1.029421982945786018e+00,9.960589715444970738e-01
7.937585694405587811e-01,1.390970328609623330e+00
3.293089706127934058e-01,6.873960859309242721e-01
8.570832926111208172e-01,1.770821230025658721e-01
8.940438087085675889e-01,8.859632296625872261e-01
6.454015064867868468e-03,2.964479791261509511e-01
8.380122136177160508e-01,7.891468995637037631e-01
1.607313639193147736e+00,2.032990930678137964e-01
1.045435795767522436e+00,1.128812321644324879e+00
9.556717472628728505e-01,6.159685794608852349e-01
1.523623567732188544e-01,6.085371852658482128e-01
1.482590357216950760e-01,1.213307156583791624e+00
2.382259740989801089e-01,1.791238073532231745e+00
2.067341667741331990e-01,2.670958072565313701e-01
1.022313592033625707e+00,1.572215506514387684e+00
8.134956286769634559e-01,7.359914215976893770e-01
2.745630290503158211e-01,1.475235809800476972e+00
8.372762338308068486e-01,8.684196737571476810e-01
3.952837156501538551e-01,4.078481589476125602e-01
4.272801376495256598e-01,1.302900077489140829e-01
6.135696475713163789e-01,6.599678024814563670e-01
1.247192357064128121e+00,1.107963529962413318e+00
1.152781815772527363e+00,2.022706442385556969e+00
9.106139276361006063e-01,1.372258576543981423e+00
5.732309516491689294e-01,6.426374071574592062e-01
1.600713025944078272e+00,1.550483361182812825e+00
5.574210461458120047e-01,6.625071755124972706e-01
1.163623407162498680e+00,8.046196909827465493e-01
1.062885407786105629e+00,1.162429188919157586e+00
1.064400694805960335e-01,9.747254411947379182e-01
8.266440847422142912e-01,1.193611083466802558e+00
8.876449923910844086e-01,1.426331535300056963e+00
8.087613945208261823e-01,9.158701902079213752e-01
7.363179419941613402e-01,4.943708013088863318e-01
3.583695067651019306e-01,6.042809447437132997e-01
5.996521581774482135e-01,1.407827576114958568e+00
1.303923159443556745e+00,9.097892521693133894e-01
6.636862251055773987e-01,4.932608996997029371e-01
4.801737476241498825e-01,4.138107584167273756e-01
1.594649065143830313e+00,1.981112467782860653e-01
1.132415947673496737e+00,8.378655127680354475e-01
2.645670783306220963e-01,1.238729732489394220e+00
6.128522357338184179e-01,1.024934835834014013e+00
3.881964934336508133e-01,1.123269266645714026e+00
8.330340699555105477e-02,1.274766579316971349e+00
8.416027511777361969e-01,5.993798177555251794e-01
1.038855209788697831e+00,6.981658778339556726e-01
1.114654279147982097e+00,2.080348699337728480e+00
1.143541462112222407e+00,3.665169193095945133e-01
2.722833609419329504e-01,7.200259896406386861e-01
1.618494181609145377e+00,2.113421822318259480e+00
7.765523975110801835e-01,3.226073730371847303e-01
4.849391838091208218e-01,5.593029424801073679e-01
2.036428426703985606e-01,1.140998955927772229e+00
4.745890400029251222e-02,9.752467896926297897e-03
5.132095579016860976e-01,7.058717112545962458e-01
8.011272691038756610e-01,1.800803092189699361e+00
4.296921086447644811e-01,1.191893631323654335e+00
4.562013378571948552e-01,1.018296926842644501e+00
9.375397946632139101e-01,1.302772067708524384e+00
1.219410403381137931e+00,1.063508065535138325e+00
7.836324286070139866e-01,1.622748985303348768e+00
6.924552949007874991e-01,4.855926395488732727e-01
7.241329482050863353e-01,1.746862042713384966e+00
6.213907210312981100e-01,1.613085986021097762e-01
9.100595514932730001e-01,7.026885461091925134e-01
