# p_0,p_1,p_2,p_3
7.095012968760276983e-01,1.400286658101208559e+00,1.919568044274210461e+00,9.086079121449027740e-01
3.629658316053284706e-01,9.100158586553941387e-01,4.562044067239060530e-01,7.622413562763808992e-01
7.405181632314972173e-01,1.242497528128061468e+00,1.743603675544473708e+00,2.743929839775341994e-01
1.124628757143663060e+00,1.766740491839617455e+00,2.224644885723779941e-01,4.314183224010411655e-01
8.753549112575909064e-01,1.042607099363868750e+00,1.466029425157189259e+00,3.158150925913946194e-01
7.000530124210017080e-01,1.323113350096077667e+00,8.484842601382088789e-01,1.797839864533979704e+00
3.919573188565648181e-01,7.010379134483519792e-01,8.501273686373977956e-01,1.427470710989663161e+00
5.301428205481096834e-01,1.375911927700207871e+00,1.392021444524544016e+00,1.281206218693280219e+00
3.885400152636100390e-01,7.864494712934803067e-01,1.947449995424989089e-01,2.191850920549597292e-01
1.012027619256346544e-01,1.773702979769326671e+00,1.452249331993628934e+00,1.238992645971547901e+00
1.289572896007729508e+00,1.858662925672702526e+00,1.222770485084122782e+00,1.072328144359885327e+00
3.968060983004608744e-01,1.665992263268926576e+00,1.244409270749633922e+00,1.276163639190451171e+00
8.058483227931145798e-01,1.507274355822498801e+00,4.971138565718742353e-01,4.951839252631075050e-01
1.560817024506192530e-01,1.232227905557663927e+00,3.543768552150230455e-01,6.230710464355068146e-01
4.752210621084931308e-01,1.414361188218249854e+00,1.094161873719748268e+00,1.804005329699808424e+00
9.153257474780351899e-02,1.025101545429165650e+00,4.460745074587286751e-01,1.461718440830836574e+00
8.436183040706191072e-01,7.331926296340612881e-01,5.843304421388845205e-01,2.074595453440901238e+00
9.464648647430883299e-01,1.501166352121671599e+00,7.897495992455012548e-01,1.267096884590686479e+00
9.961542564469025862e-01,1.393894797633465021e+00,1.241320947828947308e+00,9.436361744266371643e-01
1.186797560870932688e+00,1.301331335717330839e+00,1.179495527209810435e+00,1.349767810675524871e+00
1.382377495143826684e-01,2.116305744008530443e+00,3.953924197131089002e-01,1.592346706912290966e+00
1.075049991304016128e+00,9.126876171356401724e-01,1.248734136457771537e+00,9.678048436644109964e-01
8.102922066596089934e-01,1.452936990998976441e+00,1.507010531286716581e+00,8.451738148177164733e-01
5.398643326929679631e-01,4.277811183168773734e-01,1.207473630936884978e+00,4.493561636587835029e-01
1.810021262503160588e-01,9.043299528554702427e-01,1.812020158250721602e+00,8.302939504432312878e-01
2.783416323666110248e-01,1.178706448084458680e+00,7.442206093918093401e-01,3.072990399158180841e-01
7.660059689760746471e-01,1.467605711272700120e+00,7.287525287525732365e-01,2.316206877225216232e+00
2.842288575543681639e-01,1.554023112377510341e+00,1.263274617504454023e-01,9.710813681901281358e-01
5.254765696234326988e-01,1.214406332673435784e+00,1.136942931956671066e+00,3.378046101643861210e-01
6.235542879362796498e-01,1.511979720365852708e+00,1.337829316748474717e+00,1.074647752406707069e+00
2.213478006169539714e-01,1.844041721747094131e+00,1.521889821013683974e+00,1.373155996060160033e+00
9.240134583627751530e-02,1.670431917331449023e+00,1.532746018925328801e+00,1.277077138578067705e+00
3.003495950917515755e-01,1.723015809868721826e+00,9.120142821056471671e-01,9.541383002559380433e-01
3.784372530541835755e-01,1.516480420257535267e+00,2.395298115895904134e-01,8.519349527774326969e-01
1.143134761970674873e+00,1.576031470875321139e+00,1.286417514715270771e+00,5.345911348999783375e-01
1.847330078512529061e-01,1.573468720260660980e+00,2.239810857905311092e-01,9.188463308509235983e-01
7.581401650551350402e-02,5.433066306903769904e-01,7.590710484769948030e-01,1.527383328372534432e+00
1.714700499328233541e+00,1.140385726181246895e+00,4.647704683892720512e-01,8.741097656321256126e-01
2.485953029805167969e-01,1.754177948480160953e+00,1.730899645995143121e-01,1.245596080492789914e+00
3.428664714301402627e-01,1.711130463582543282e+00,8.528274207279180619e-01,2.235725340137758588e-01
5.233423730830569776e-01,1.417748237442156611e+00,2.257317413149049212e-01,3.988202035953278823e-01
4.904364582581535181e-01,1.612849338139254574e+00,1.799142928071573166e+00,1.366659981231821419e+00
2.686883896789541426e-01,1.417776696521188429e+00,1.443287608780785547e-02,8.993588893391517569e-01
7.494347502838656361e-01,1.145001750407362184e+00,1.998095431445574555e-01,8.669307003802874112e-01
1.446382142640866064e+00,1.386519379566540477e+00,1.233243296649728649e+00,9.108982124161283389e-01
1.437317460927877155e-01,1.429723193985147134e+00,8.421817624272409653e-01,8.055856055372835334e-01
2.232882874979230658e-02,1.146317230199178638e+00,7.452217014665877270e-01,1.352161200086480441e+00
4.087503992255853147e-01,2.062619319114049610e+00,9.849619038457927411e-01,1.057956006396826298e+00
1.047475730565662899e-01,1.009229259968869696e+00,1.461647316322904233e+00,1.352820147204470524e+00
1.155483817487631404e-01,1.027930523254372508e+00,1.722679555129273288e+00,4.777886860406858061e-01
1.010843535628460632e+00,7.875261948156546676e-01,1.696071002481111645e+00,1.038902962906731675e+00
4.973241378270684687e-01,1.317863747061149393e+00,8.678743743307868463e-01,6.266070580429091708e-01
2.429110597236315838e-01,1.017129120700760891e+00,1.737666949761399238e+00,1.164808593878892795e+00
7.893044635557713296e-01,1.569742307612012944e+00,1.759808990066160206e+00,2.919153522597497386e-01
1.148504722188299354e+00,1.424325926188903635e+00,6.120482948240846266e-01,1.323773329267347698e+00
6.235622180502342626e-01,1.556333726382922000e+00,1.368755327631661078e+00,5.397971239598242654e-01
4.216632919694974224e-01,1.757739560940324131e+00,6.572144594631981196e-01,4.658602580115097647e-01
3.671986570438269259e-01,7.356636398197661242e-01,1.441935819492865756e+00,1.488780149001859066e+00
8.974835472321789354e-01,1.068371598592771754e+00,4.925012698041560943e-01,5.019708189950421451e-01
3.889854995760455569e-02,2.048627936801011629e+00,1.054311005959021275e+00,1.353059119504610219e+00
8.531303981520410584e-01,8.435666737935871851e-01,1.210931897185046013e+00,1.576972214226329383e+00
