# p_0,p_1,p_2,p_3
2.189532036527466197e-01,9.755604011221833405e-01,1.364550683454492264e+00,1.113859478740948594e+00
2.881657089701178953e-01,3.816245875129357090e-01,2.219942588550047891e-01,1.214829581112666146e+00
3.982111137758834740e-01,1.207448079154434195e+00,1.431121179161244372e+00,1.373163221481361607e+00
1.136446379516775629e-01,7.204774581681704371e-01,1.383117680553923590e+00,9.157392244708167928e-01
3.702342472066477708e-01,5.738719252459979492e-01,7.508608828720720885e-01,7.883302029580535608e-01
1.731790389383732087e+00,1.672711163501127807e+00,1.093486557292149941e+00,1.432764520744013614e+00
4.988031091403696826e-01,1.408853352222472877e+00,6.894591919774095690e-01,1.506556107117498877e+00
5.337371378354455187e-01,1.275700764644011276e+00,1.210059411299010845e+00,1.883957035079484754e+00
2.192036993500544317e-01,1.173696076697069879e+00,2.113629144260748660e+00,2.091087494431647542e+00
1.256327319690636601e-01,1.876631767118867922e+00,6.517118802529167088e-01,1.050026511082560843e+00
8.582384454885122471e-01,1.519418980422196919e+00,1.032525699070856673e+00,1.912555734027951537e+00
4.391832203624458919e-01,1.380031413891034564e+00,1.172391631837181425e+00,1.235327428904945624e+00
5.042329416925983576e-01,6.676888333995515401e-01,1.123445963274952497e+00,2.315702797079656206e-01
6.591981847113608239e-01,1.594287641953173740e-02,1.396193813723287436e+00,9.537040556449022377e-01
3.965687688683011691e-02,1.052903808380838413e+00,8.017196843091883851e-01,1.232946907170096695e+00
1.349978945582581469e+00,1.369377502461529783e+00,1.011840854490504649e+00,1.225276451593152682e+00
2.310674375151492155e-01,1.406960499351145533e+00,7.146077850728568270e-01,8.883012519448478805e-01
7.393544751879550514e-01,1.543532537068076138e+00,1.154047673472133440e+00,1.053241121028895444e+00
1.743651623540198869e-01,1.410140152725230411e+00,1.200763871006893080e+00,1.217384716835806069e+00
6.142880121149353334e-01,1.451818128199956703e+00,1.924601617809762244e+00,8.053132934253051101e-01
4.616597495648121496e-01,7.766463239435745791e-01,1.430652971049660938e+00,1.595247511114383121e+00
2.748209843631921334e-02,4.573560947220717265e-01,9.733084705711925189e-01,8.314891658377061567e-01
5.299649476023695627e-01,1.451053889927144347e+00,5.348812430521645567e-01,1.155760631032504815e+00
4.145351875953294241e-01,2.187894116049609927e+00,1.406534980167633009e+00,9.496311812355190396e-01
8.492201119781787044e-01,8.870083259615804128e-01,8.221812506113114205e-01,1.220493798189367762e+00
6.559665141891609652e-01,1.656582421760230295e+00,9.416308061334566215e-01,1.044572747877468455e+00
5.983249370351906293e-01,2.336829481307340917e-01,1.104357285331611704e+00,5.432793557539935536e-01
1.139278859374300179e+00,9.543081870227172470e-01,6.922121091626713962e-01,2.092853216889208667e+00
9.579919170522013250e-01,1.267442809886037969e+00,5.165616537517412343e-01,1.550035877771915205e+00
4.195212523040015018e-02,9.275433370500789643e-01,1.350192050887453643e+00,1.014609377549098079e+00
1.057238488704859591e+00,8.365572296880825487e-01,5.218257854496319847e-01,4.138207090349906858e-01
1.121813689362285427e+00,1.365039225930231970e+00,7.977239001773975824e-01,5.884991050346004560e-01
4.489971037779852958e-01,1.688346939166547767e+00,5.232308581863934771e-01,1.471804508826096258e+00
2.140890232602231658e-01,1.334062994416411740e+00,1.340203747153187575e+00,1.524177007318239685e+00
1.018710619745387902e+00,1.738097264091822414e+00,7.773641660326979785e-01,1.111716299792149254e-01
1.400007170139749291e-01,1.701289464626173586e+00,1.140364788287956177e+00,7.151135624599120888e-01
5.534796048537341528e-01,4.040096459109420168e-01,1.130960950747607274e+00,6.079279459624089554e-01
8.118690634550864704e-01,7.631719697731645935e-01,7.422253415130590781e-01,1.534264265564795338e+00
6.878166054521525075e-01,1.230577162597799035e+00,1.311037815748923752e+00,5.824600232694709945e-03
6.130366827064406277e-01,8.043629041260956791e-01,1.084086028008526270e+00,1.449673649693585364e+00
8.131801812251318040e-01,1.237806794403283561e+00,1.427756531497263115e+00,1.164361262236961236e+00
5.640920178087533987e-01,1.243382012956521399e+00,1.144587177473169071e+00,1.322864087649348264e+00
