# p_0,p_1,p_2,p_3
4.294114873142390598e-02,1.668182725591315752e+00,7.929922287382321633e-01,5.367095192487101318e-01
6.860972810389637244e-02,9.729899921346685243e-01,1.114945458821233970e+00,3.778780129302072854e-01
4.342218050403023888e-02,1.857158364074649182e+00,1.255070824289130638e+00,8.065866296697993265e-01
2.666537135771724909e-01,1.096691845705939361e+00,9.724361191578867469e-01,1.609713998447337424e+00
4.886649935079408480e-01,3.667061288746118475e-01,1.566689924502528086e+00,1.377067645979475508e+00
2.896560152223345841e-01,1.362107875132509527e+00,6.796381132117335078e-01,1.071478585855573540e+00
6.672576407271333387e-01,9.791849748854721813e-01,1.250737587488920388e+00,1.719969128997073771e+00
2.069592454086779665e-01,1.872969823648841903e+00,3.552533217354297834e-01,1.336134521998764368e+00
5.487114548222242760e-01,1.824752636129555849e+00,4.700219553488913515e-01,5.086793302843473086e-02
2.743917513023934607e-01,8.557348836465986652e-01,6.029985448556128835e-01,1.376703827812308045e+00
1.133034692099160523e+00,1.253980758429672271e+00,1.481740330798916760e+00,3.280918893663838931e-01
8.427121404854515108e-02,1.216806510151977827e+00,4.921540143694093095e-01,5.436841776207128607e-01
1.374503395675333639e+00,1.717539799136344358e+00,1.211174294230460635e+00,3.334601760152807737e-01
6.578345097868872893e-01,8.844880260611998057e-01,1.023001698092885547e+00,1.345157868997364448e+00
9.227565118280699474e-01,1.042225700561146828e+00,3.984943465209542790e-01,6.993466023207060012e-01
3.834289731766163389e-01,7.964562497318088408e-01,9.165436857270055082e-01,8.228493687606742713e-01
4.247186281976924604e-01,1.593476592369381883e+00,1.172284091826424124e+00,1.095616912173586366e+00
1.167538699973894589e-01,1.293729479988939612e+00,1.118973134357412524e+00,9.903733410535994208e-01
5.331553861248217174e-01,1.272137575164293821e+00,7.566019441412453750e-01,1.157213218455695358e+00
4.980378730036668644e-01,1.522919780798915657e+00,8.769202533150877166e-01,1.148994999673489392e+00
3.829305763381431471e-01,1.294220271253630372e+00,5.062456788902643945e-01,7.686537264490631571e-01
8.316761378284527328e-01,1.360571902333624239e+00,6.498849272161946189e-01,1.476468264811678033e+00
1.916910422512020651e-01,1.529715601692005711e+00,7.538021310103256711e-01,8.767371527868574876e-01
2.831954185962917703e-01,1.050707527612964487e+00,1.035548509054819100e+00,1.032573251332191688e+00
6.079860215217772756e-01,8.919152305539557180e-01,3.862470982437172795e-01,1.359628442209730226e+00
8.255327622905849205e-01,1.264916616273667804e+00,1.052672027712743708e+00,1.133643678994264770e+00
1.330491259376986202e+00,1.694545289146808242e+00,1.849739816362141465e-01,1.333062306958244125e+00
1.742730982001687856e+00,1.386070725471175269e+00,8.692384012921621217e-01,8.116243003389408406e-01
1.028094447795345978e+00,1.671047415876219411e+00,8.963581916742402456e-03,5.602410622610627389e-01
4.240017873291412331e-01,7.538386027877015394e-01,1.506257133641982993e+00,2.945348967494912928e-01
